grade;grade_id;grade_dgr;grade_dgr_id;rough;rough_id
AAA;0;AAA;0;AAA;0
AA+;1;AA+;1;AA;1
AA;2;AA;2;AA;1
AA-;3;AA-;3;AA;1
A+;4;A+;4;A;2
A;5;A;5;A;2
A-;6;A-;6;A;2
BBB+;7;BBB+;7;BBB;3
BBB;8;BBB;8;BBB;3
BBB-;9;BBB-;9;BBB;3
BB+;10;BB+;10;BB;4
BB;11;BB;11;BB;4
BB-;12;BB-;12;BB;4
B+;13;B+;13;B;5
B;14;B;14;B;5
B-;15;B-;15;B;5
CCC+;16;CCC+;16;CCC;6
CCC;17;CCC;17;CCC;6
CCC-;18;CCC-;18;CCC;6
CC;19;CC;19;CC;7
C;20;C;20;C;8
D;21;D;21;D;9
Снят;999;Снят;999;Снят;999
Приостановлен;888;Приостановлен;888;Приостановлен;888
